designation;reference;url_product;Fournisseur
LAIT DEMI-ÉCRÉMÉ UHT;80001;/Produits/Lait-demi-ecreme-UHT/p/000000000000080001;Sysco
BEURRE PLAQUETTE DOUX;80269;/Promotions/Beurre-plaquette-doux/p/000000000000080269;Sysco
EMMENTAL RÂPÉ;41301;/Promotions/Emmental-rape/p/000000000000041301;Sysco
CRÈME LIQUIDE LÉGÈRE UHT;81244;/Promotions/Creme-liquide-legere-UHT/p/000000000000081244;Sysco
SUCRE EN POUDRE;18462;/Produits/Sucre-en-poudre/p/000000000000018462;Sysco
CRÈME LIQUIDE STÉRILISÉE UHT;81231;/Promotions/Creme-liquide-sterilisee-UHT/p/000000000000081231;Sysco
LAIT ENTIER UHT;80265;/Promotions/Lait-entier-UHT/p/000000000000080265;Sysco
BÛCHETTE PUR CHÈVRE;80043;/Promotions/Buchette-pur-chevre/p/000000000000080043;Sysco
CRÈME UHT;81653;/Produits/Creme-UHT/p/000000000000081653;Sysco
HUILE DE TOURNESOL;11657;/Promotions/Huile-de-tournesol/p/000000000000011657;Sysco
FILET DE POULET BLANC VF;41485;/Promotions/Filet-de-poulet-blanc-VF/p/000000000000041485;Sysco
FARINE DE BLÉ TYPE 55;14943;/Promotions/Farine-de-ble-type-55/p/000000000000014943;Sysco
LARDON FUMÉ 8/8;40299;/Promotions/Lardon-fume-8-8/p/000000000000040299;Sysco
POITRINE FUMÉE DÉLICATESSE;11089;/Promotions/Poitrine-fumee-Delicatesse/p/000000000000011089;Sysco
HUILE D'OLIVE VIERGE EXTRA;19267;/Les-produits/L-epicerie/L-huile--le-vinaigre-et-corps-gras/Les-huiles-pour-assaisonnement/Les-huiles-pour-assaisonnement/Huile-d-olive-vierge-extra/p/000000000000019267;Sysco
CRÈME UHT;82044;/Promotions/Creme-UHT/p/000000000000082044;Sysco
CRÈME SUCRÉE SOUS PRESSION;81118;/Produits/Creme-sucree-sous-pression/p/000000000000081118;Sysco
COULIS EXTRA DE FRUITS ROUGES;39665;/Produits/Coulis-extra-de-fruits-rouges/p/000000000000039665;Sysco
OIGNON ÉMINCÉ;60117;/Promotions/Oignon-emince/p/000000000000060117;Sysco
MAYONNAISE;14631;/Promotions/Mayonnaise/p/000000000000014631;Sysco
REBLOCHON DE SAVOIE AOP;80115;/Promotions/Reblochon-de-Savoie-AOP/p/000000000000080115;Sysco
ROSETTE DE LYON TRANCHÉE;40670;/Promotions/Rosette-de-Lyon-tranchee/p/000000000000040670;Sysco
TRANCHE DE CHEDDAR FONDU;82998;/Les-produits/La-cremerie/Les-bases-d-assemblage/Les-fromages-pour-sandwich-et-burger/Les-fromages-pour-sandwich-et-burger/Tranche-de-cheddar-fondu/p/000000000000082998;Sysco
PARMIGIANO REGGIANO AOP RÂPÉ;81920;/Promotions/Parmigiano-reggiano-AOP-rape/p/000000000000081920;Sysco
FRITE 10/10 BI-TEMPÉRATURE;32868;/Promotions/Frite-10-10-bi-temperature/p/000000000000032868;Sysco
JAMBON CUIT AU TORCHON DD TRANCHÉ;49950;/Produits/Jambon-cuit-au-torchon-DD-tranche/p/000000000000049950;Sysco
CRÈME UHT;82043;/Promotions/Creme-UHT/p/000000000000082043;Sysco
MASCARPONE;80195;/Promotions/Mascarpone/p/000000000000080195;Sysco
CROUSTILLANT D'AIGUILLETTE DE POULET AUX CORN FLAKES VF;75512;/Promotions/Croustillant-d-aiguillette-de-poulet-aux-corn-flakes-VF/p/000000000000075512;Sysco
CAMEMBERT AU LAIT PASTEURISÉ;80353;/Promotions/Camembert-au-lait-pasteurise/p/000000000000080353;Sysco
FILET DE SAUMON ATLANTIQUE;43368;/Les-produits/Les-poissons/Le-saumon/Les-filets-de-saumon/Les-filets-avec-peau/Filet-de-saumon-atlantique/p/000000000000043368;Sysco
OIGNON FRIT CROUSTILLANT;18530;/Promotions/Oignon-frit-croustillant/p/000000000000018530;Sysco
TARTARE DE BOEUF CHAROLAIS AUX COUTEAUX VBF;47708;/Promotions/Tartare-de-boeuf-Charolais-aux-couteaux-VBF/p/000000000000047708;Sysco
STEAK HACHÉ FAÇON BOUCHÈRE VBF;40594;/Promotions/Steak-hache-facon-bouchere-VBF/p/000000000000040594;Sysco
HUILE VÉGÉTALE RÉSERVÉE À LA FRITURE;19324;/Les-produits/L-epicerie/L-huile--le-vinaigre-et-corps-gras/Les-huiles-de-cuisson-et-friture/Les-huiles-de-cuisson-et-friture/Huile-vegetale-reservee-a-la-friture/p/000000000000019324;Sysco
COPEAU DE PARMESAN AOP;81137;/Promotions/Copeau-de-parmesan-AOP/p/000000000000081137;Sysco
VINAIGRE D'ALCOOL CRISTAL BLANC;18499;/Promotions/Vinaigre-d-alcool-cristal-blanc/p/000000000000018499;Sysco
MIEL TOUTES FLEURS;14188;/Les-produits/L-epicerie/Le-petit-dejeuner/Le-miel-et-la-pate-a-tartiner/Le-miel-et-la-pate-a-tartiner/Miel-toutes-fleurs/p/000000000000014188;Sysco
CRÈME GLACÉE VANILLE BOURBON;76754;/Produits/Creme-glacee-vanille-Bourbon/p/000000000000076754;Sysco
OEUF MOYEN ALVEOLE SOL;81652;/Les-produits/La-cremerie/Les-ovoproduits/Les-oeufs-coquilles/Les-oeufs-coquilles/Oeuf-moyen-alveole-sol/p/000000000000081652;Sysco
COPEAU DE GRANA PADANO AOP;81645;/Promotions/Copeau-de-Grana-Padano-AOP/p/000000000000081645;Sysco
CRÈME FRAÎCHE ÉPAISSE;80296;/Promotions/Creme-fraiche-epaisse/p/000000000000080296;Sysco
CRÈME GLACÉE VANILLE INTENSE;77027;/Promotions/Creme-glacee-vanille-intense/p/000000000000077027;Sysco
CHEDDAR ROUGE RÂPÉ;82353;/Promotions/Cheddar-rouge-rape/p/000000000000082353;Sysco
STEAK HACHÉ ROND FAÇON BOUCHÈRE;78095;/Produits/Steak-hache-rond-facon-bouchere/p/000000000000078095;Sysco
GAUFRE DE BRUXELLES;76019;/Promotions/Gaufre-de-Bruxelles/p/000000000000076019;Sysco
MASCARPONE;83135;/Les-produits/La-cremerie/Les-fromages-a-la-coupe-et-a-la-piece/Les-specialites-italiennes/Les-specialites-italiennes/Mascarpone/p/000000000000083135;Sysco
PRÉPARATION UHT VÉGÉTOP;81233;/Promotions/Preparation-UHT-Vegetop/p/000000000000081233;Sysco
ROULEAU ESSUIE-MAINS OUATE BLANCHE;15169;/Promotions/Rouleau-essuie-mains-ouate-blanche/p/000000000000015169;Sysco
CERNEAU DE NOIX ARLEQUIN INVALIDE;19210;/Les-produits/L-epicerie/Les-desserts-et-fruits/Les-fruits-secs--moelleux--oleagineux-ou-confits/Les-fruits-secs--moelleux--oleagineux-ou-confits/Cerneau-de-noix-arlequin-invalide/p/000000000000019210;Sysco
JAMBON SERRANO TRANCHÉ STG;40490;/Promotions/Jambon-Serrano-tranche-STG/p/000000000000040490;Sysco
CRÈME FRAÎCHE ÉPAISSE;80004;/Promotions/Creme-fraiche-epaisse/p/000000000000080004;Sysco
MÉLANGE RÂPÉ;81138;/Promotions/Melange-rape/p/000000000000081138;Sysco
CROISSANT SÉLECTION AU BEURRE AOP CHARENTES POITOU;76562;/Promotions/Croissant-selection-au-beurre-AOP-Charentes-Poitou/p/000000000000076562;Sysco
BEURRE PLAQUETTE DEMI-SEL;80947;/Promotions/Beurre-plaquette-demi-sel/p/000000000000080947;Sysco
COLESLAW;42457;/Promotions/Coleslaw/p/000000000000042457;Sysco
SUCRE PURE CANNE CASSONNADE;14939;/Promotions/Sucre-pure-canne-cassonnade/p/000000000000014939;Sysco
CRÈME UHT;82045;/Promotions/Creme-UHT/p/000000000000082045;Sysco
FILET DE POULET HALAL VF;42263;/Produits/Filet-de-poulet-Halal-VF/p/000000000000042263;Sysco
CHAMPIGNON DE PARIS ÉMINCÉ;39619;/Promotions/Champignon-de-Paris-emince/p/000000000000039619;Sysco
RAVIOLE DU DAUPHINÉ LABEL ROUGE;75509;/Produits/Raviole-du-Dauphine-Label-Rouge/p/000000000000075509;Sysco
MOZZARELLA RÂPÉE GROS FIL;82557;/Promotions/Mozzarella-rapee-gros-fil/p/000000000000082557;Sysco
BÛCHE DE CHÈVRE;82757;/Promotions/Buche-de-chevre/p/000000000000082757;Sysco
CORDON BLEU DE POULET, BACON DE PORC ET COMTÉ FONDU CUIT;42155;/Promotions/Cordon-bleu-de-poulet--bacon-de-porc-et-comte-fondu-cuit/p/000000000000042155;Sysco
ROULEAU FILM ALIMENTAIRE ÉTIRABLE 7,5 ΜM;15012;/Promotions/Rouleau-film-alimentaire-etirable-7-5-%C2%B5m/p/000000000000015012;Sysco
SEL FIN;16325;/Produits/Sel-fin/p/000000000000016325;Sysco
SALADE DE PERLES MARINES AUX OEUFS DE TRUITE;42495;/Produits/Salade-de-perles-marines-aux-oeufs-de-truite/p/000000000000042495;Sysco
FROMAGE BLANC BATTU LISSE;80508;/Promotions/Fromage-blanc-battu-lisse/p/000000000000080508;Sysco
PAIN BUN'S BRIOCHÉ TRANCHÉ;79593;/Promotions/Pain-bun-s-brioche-tranche/p/000000000000079593;Sysco
CAMEMBERT AU FOUR;82761;/Produits/Camembert-au-four/p/000000000000082761;Sysco
JAUNE D'OEUF LIQUIDE SOL+;82825;/Produits/Jaune-d-oeuf-liquide-Sol%2B/p/000000000000082825;Sysco
HARICOT VERT EXTRA-FIN CE2;71593;/Promotions/Haricot-vert-extra-fin-CE2/p/000000000000071593;Sysco
